transaction_id,user_id,amount,payment_method,device_type,mouse_movement_score,geo_location,ip_risk_score,account_age_days,time_of_day,day_of_week,num_prev_transactions,avg_transaction_amount,is_international,is_vpn,fraud_flag
txn_45089,3428,40.98,credit_card,mobile,0.44,Delhi,0.22,364,20,Friday,11,108.06,0,1,0
txn_32802,4141,90.58,upi,tablet,0.71,Bangalore,0.12,1768,20,Wednesday,6,63.89,0,0,0
txn_3379,1123,26.75,bnpl,tablet,0.39,None,0.4,1487,9,Sunday,8,76.62,0,0,0
txn_10978,2930,390.88,debit_card,desktop,0.24,Unknown,,1634,11,Friday,10,95.37,0,0,0
txn_7477,1656,51.67,credit_card,mobile,0.11,Mumbai,0.47,745,23,Thursday,8,45.94,0,0,0
txn_31285,4571,177.05,upi,mobile,0.13,Mumbai,0.93,825,17,Thursday,12,81.89,0,0,0
txn_47485,2117,68.5,upi,mobile,0.12,Delhi,0.4,1889,5,None,12,91.33,0,0,0
txn_4398,1976,116.13,wallet,tablet,0.38,London,0.33,1074,18,Tuesday,13,97.4,0,0,0
txn_36634,1293,22.45,net_banking,mobile,,Mumbai,0.68,26,10,Tuesday,11,44.0,0,0,0
txn_10534,2968,53.37,upi,desktop,0.14,Dubai,0.91,211,4,Saturday,10,53.6,0,0,0
txn_5011,4522,16.41,wallet,mobile,0.08,London,0.47,1855,8,Saturday,8,94.26,0,1,0
txn_40497,2869,6.69,net_banking,tablet,0.55,London,0.97,1515,13,Monday,8,60.54,0,0,0
txn_14884,4911,86.89,credit_card,desktop,0.31,Unknown,0.04,695,3,Monday,14,105.7,0,0,0
txn_4837,4588,52.03,upi,tablet,0.46,Mumbai,,345,3,None,8,101.84,0,0,0
txn_11846,2973,42.41,wallet,None,0.29,Unknown,0.33,713,12,Friday,17,78.39,0,0,0
txn_36929,2509,130.82,bnpl,mobile,0.25,New York,0.37,695,12,Wednesday,11,70.99,0,0,0
txn_24100,4123,33.75,bnpl,mobile,0.16,None,0.05,931,23,Sunday,14,68.31,0,1,0
txn_13681,4654,33.48,debit_card,desktop,0.13,Delhi,0.78,1738,12,Tuesday,10,104.43,1,0,0
txn_32056,4374,84.83,net_banking,tablet,0.3,Bangalore,0.87,1745,10,Tuesday,13,107.21,0,0,0
txn_12114,1667,0.35,upi,mobile,0.23,Delhi,0.37,1955,15,Thursday,11,76.77,1,0,0
txn_29557,4766,305.47,upi,desktop,0.13,London,0.19,47,16,Friday,7,66.8,0,1,0
txn_11867,2788,67.89,upi,tablet,0.31,London,0.15,39,6,Sunday,17,91.45,0,1,0
txn_24931,1931,177.02,wallet,tablet,0.22,London,0.08,1882,5,Saturday,8,101.32,0,0,0
txn_14910,3114,40.15,upi,tablet,0.2,Unknown,0.61,579,5,Thursday,12,42.53,0,0,0
txn_10264,4051,53.8,upi,mobile,0.11,New York,0.68,16,8,Saturday,9,86.84,1,0,0
txn_39335,2141,31.57,net_banking,desktop,0.22,New York,0.96,1815,0,Wednesday,5,85.86,0,0,0
txn_4805,2237,14.29,debit_card,tablet,0.11,Delhi,0.13,1202,13,Sunday,13,49.81,0,0,0
txn_25338,3224,14.05,wallet,mobile,0.19,Mumbai,0.7,960,0,None,10,66.06,0,0,0
txn_31711,1729,64.24,credit_card,tablet,0.54,Bangalore,0.26,1101,14,Monday,15,94.14,0,0,0
txn_44613,4374,47.6,debit_card,mobile,0.15,Delhi,0.61,925,15,Tuesday,12,110.71,0,0,0
txn_12172,3001,65.89,bnpl,tablet,0.13,New York,0.74,1683,20,Saturday,10,81.0,0,0,0
txn_4731,3169,221.05,net_banking,desktop,0.07,Dubai,0.13,543,8,Wednesday,10,91.24,1,1,0
txn_7219,2256,89.01,debit_card,desktop,0.32,None,0.7,1712,11,Sunday,12,86.35,0,0,0
txn_47229,1356,14.1,None,tablet,0.22,Dubai,0.97,292,0,Saturday,8,67.13,0,0,0
txn_25562,3172,77.16,credit_card,None,0.22,Dubai,0.2,1338,17,Saturday,5,91.15,0,0,0
txn_48061,2644,45.5,wallet,mobile,0.32,Delhi,0.75,541,11,Monday,9,59.95,0,0,0
txn_43935,3219,7.52,bnpl,tablet,0.22,Dubai,0.0,309,21,Friday,7,82.15,0,0,0
txn_5457,1356,179.77,net_banking,tablet,0.28,New York,0.72,630,1,Monday,11,,0,0,0
txn_29368,2638,69.78,debit_card,tablet,0.52,Bangalore,0.77,180,13,Sunday,14,80.37,0,0,0
txn_7920,4178,471.94,wallet,None,0.29,Bangalore,0.07,128,23,Monday,8,108.9,0,0,0
txn_39293,1339,41.3,upi,tablet,0.08,Dubai,0.94,1689,2,Saturday,12,97.51,0,0,0
txn_27016,1028,125.98,debit_card,mobile,0.2,Mumbai,0.75,772,2,Thursday,13,103.16,0,0,0
txn_35852,4141,107.08,upi,tablet,0.51,Mumbai,0.65,165,3,Friday,11,26.67,0,0,0
txn_24348,2154,114.03,debit_card,tablet,0.13,Delhi,0.79,786,23,Sunday,14,101.06,0,0,0
txn_46453,1162,52.43,credit_card,mobile,0.22,London,,1811,7,Wednesday,11,71.54,0,0,0
txn_41185,2780,58.17,net_banking,mobile,,Bangalore,0.97,1314,10,Tuesday,13,78.39,1,0,0
txn_48096,2525,50.63,credit_card,desktop,0.21,Unknown,0.27,762,20,Thursday,9,86.01,0,0,0
